"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"12","A Kumar; Neeran M Karnik ; Vikas Agarwal","Metering and Accounting for Composite e-Services ","CEC","14","2","12"
"13","N Adly; A Kumar;","HPP: A Hierarchical Propagation Protocol for Large Scale Replication in Wide Area Networks,","Seventh International Conference Computing and Information Peterborough","1","16","13"
"14","A Kumar;Noha Adly","HPP: A Reliable Causal Broadcast Protocol for Large-Scale Replication ","Comput J","1","17","14"
"15","A Kumar; T Camp","A New Matching Algorithm for Managing Location Information in Mobile Computing,","Proceedings of the th IEEE International Conference Performance Computing and Communications IPCCC International Performance Computing and Communications Conference","1","50","15"
"16","A Basu ; A Kumar","Research Commentary: Workflow Management Systems in e-Business,","Information Systems Research","1","18","16"
"17","A Kumar","A New Approach for Conflict Resolution and Rule Processing in a Knowledge-Based System,","Proceedings of the Eleventh International Conference Information Systems Copenhagen","1","51","17"
"18","A Kumar;Shun Yan Cheung","Efficient Quorumcast Routing Algorithms ","INFOCOM The Conference Computer Communications","1","19","18"
"19","A Kumar;","New Techniques for data reduction in database systems for knowledge discovery applications,","Journal of Intelligent Information Systems","1","52","19"
"20","A Kumar; L Zhao","Workflow Support for Electronic Commerce Applications,","Decision Support Systems","1","53","20"
"21","A Kumar","Zigzag Path-Based Matching Algorithms for High Availability and Load Balancing,"," manuscript","1","54","21"
"22","A Kumar; M Stonebraker","Performance Considerations for an Operating System Transaction Manager,","IEEE Transactions Software Engineering","1","55","22"
"23","A Kumar; M Stonebraker","Performance Evaluation of an Operating System Transaction Manager,","Proceedings of the Thirteenth International VLDB Very Large Data Bases Very Large Databases Conference U K","1","56","23"
"24","A Kumar","Performance Analysis of a Hierarchical Quorum Consensus Algorithm for Replicated Objects,","Proceedings of the Tenth IEEE International Conference Distributed Computing Systems","1","57","24"
"25","A Kumar;J Leon Zhao","Data Management Issues for Large Scale, Distributed Workflow Systems on the Internet ","DATA BASE","1","90","25"
"26","A Kumar; M Rabinovich; R Sinha","A Performance Study of General Grid Structures for Replicated Data,","IEEE International Conference Distributed Computing Systems","1","58","26"
"27","L Zhao; A Kumar; E Stohr","A Dynamic Grouping Technique for Distributing Codified- Knowledge in Large Organizations,","Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems Sydney","1","91","27"
"28","A Kumar; M Stonebraker","Operating System Support for Data Management,","IEEE Data Engineering","1","59","28"
"29","A Kumar;J Leon Zhao","A Framework for Dynamic Routing and Operational Integrity Controls in a Workflow Management System ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","1","92","29"
"30","L Zhao; A Kumar; E A Stohr","Workflow-centric Information Distribution through Email,","Journal of Management Information Systems Winter","1","93","30"
"31","L Zhao; A Kumar; E Stohr","A Workflow-centric Study of Organizational Knowledge Distribution,"," rd International Conference Systems Sciences","1","94","31"
"32","A Kumar;J Leon Zhao","EROICA: A Rule-Based Approach to Organizational Policy Management in Workflow Systems ","WAIM Web Age Information Management","1","95","32"
"33","S Y Cheung; A Kumar","Efficient Solution Techniques for the Quorumcast Problem,","Proceedings of IEEE Infocom Toronto","1","20","33"
"34","A Kumar;Shun Yan Cheung","A High Availability \sqrt{N} Hierarchical Grid Algorithm for Replicated Data ","Inf Process Lett","1","21","34"
"35","V Christophides; R Hull; G Karvounarakis; A Kumar; G Tong; M Xiong ","Beyond Discrete E-Services","Composing Session-Oriented Services in Telecommunications","1","22","35"
"36","V Christophides; R Hull; A Kumar","Querying and Splicing of Workflows,","Sixth International Conference Cooperative Information Systems CoopIS Cooperation with VLDB Very Large Data Bases Trento","1","23","36"
"37","V Christophides; R Hull; A Kumar; J Simeon","Workflow mediation using VorteXML,","IEEE Data Engineering Bulletin","1","24","37"
"38","A Kumar;Richard Hull ; Vassilis Christophides","Querying and Splicing of XML Workflows ","CoopIS","1","25","38"
"39","R Hull; A Kumar; J Simeon","Smart Supply Web: An application of Web-based data and workflow mediation, Workshop on Technologies for E-Services VLDB-TES Workshop , Cairo, September ","","1","26","39"
"40","A Kumar;J&eacute;r&ocirc;me Sim&eacute;on ; Richard Hull ; Vassilis Christophides","Workflow Mediation using VorteXML ","IEEE Data Eng Bull","1","27","40"
"41","A Kumar; A Segev","Optimizing Voting-Type Algorithms for Replicated Data,","Lecture Notes Computer Science J W Schmidt S Ceri and M Misekoff eds Springer Verlag Proceedings of the First International Conference Extending Database Technology","1","60","41"
"42","A Kumar;J&eacute;r&ocirc;me Sim&eacute;on ; Richard Hull","Smart supply web: an application of web-based data and workflow mediation ","TES Technologies for E Services","1","28","42"
"43","A Kumar ; A Segev","Optimizing and Evaluating Algorithms for Replicated Data Concurrency Control,","Proceedings of the Ninth IEEE International Conference Distributed Computing Systems Beach Computer Animation","1","61","43"
"44","A Kumar","A Crash Recovery Algorithm Based on Multiple Logs that Exploits Parallelism,","Proceedings of the Second IEEE Symposium Parallel and Distributed Processing","1","29","44"
"45","A Kumar; K Malik","Optimizing the Costs of Hierarchical Quorum Consensus,","Acta Informatica","1","62","45"
"46","A Kumar; L Zhao","Architectures and Techniques for Large-Scale, Distributed Workflow Management on the Internet,","Workshop Information Technology and Systems","1","63","46"
"47","A Kumar;Kumar; A ; Zhao; L ","EROICA: A Rule-based Approach to Organizational Policy Management in Workflow Systems,","WAIM Web Age Information Management Conference Beijing","1","64","47"
"48","A Kumar","Organizing an Optimal Hierarchy of Web Pages Based on Access Frequency,","Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems Barcelona","1","65","48"
"49","A Kumar","A Randomized Voting Algorithm,","Proceedings of the Eleventh IEEE International Conference Distributed Systems","1","66","49"
"50","A Kumar","A randomized algorithm for distributed consensus,","IEEE Symposium Reliable Distributed Systems Purdue University W","1","67","50"
"51","A Kumar; M Stonebraker","Semantics Based Transaction Management Techniques for Replicated Data,","Proceedings ACM SIGMOD International Conference Management of Data Special Interest Group Management of Data Conference","1","68","51"
"52","A Kumar; I Olmeda;","A Study of Composite classifiers for knowledge discovery,","INFORMS Journal Computing Volume Summer","1","69","52"
"53","A Kumar; A Segev;","Cost and Availability Tradeoffs in Replicated Data Concurrency Control,","ACM Transactions Database Systems","1","30","53"
"54","A Kumar; W M P van der Aalst; H M W Verbeek","Dynamic Work Distribution in Workflow Management Systems: How to balance quality and performance?","Journal of MIS Workshop Multimedia Information Systems Winter","1","31","54"
"55","A Kumar; L Zhao","Dynamic Routing and Operational Controls in a Workflow Management System,","Management Science Volume","1","32","55"
"56","A Kumar; L Zhao","A Framework for Dynamic Routing and Operational Integrity Controls in a Workflow Management System,"," th International Conference Systems Sciences","1","33","56"
"57","A Kumar;Kumar; A ","A Framework for handling delegation in Workflow Management Systems,","Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems","1","34","57"
"58","A Kumar","Global Coordination through Local Exchanges and Randomization,"," manuscript","1","35","58"
"59","A Kumar","G-Tree: A New Data Structure for Organizing Multi-dimensional Data,","IEEE Transactions Knowledge and Data Engineering","1","36","59"
"60","A Kumar; S Y Cheung","A High Availability Sqrt N Hierarchical Grid Algorithm for Replicated Data,","Information Processing Letters","1","37","60"
"61","A Kumar;","A Study of Spatial Clustering Techniques,","Lecture notes Computer Science Springer Verlag Proceedings of the Fifth International DEXA Database and Expert Systems Applications conference","1","70","61"
"62","A Kumar; N Adly","HPP: A Reliable Causal Broadcast Protocol for Large Scale Replication in Wide Area Networks,","Computer Journal Volume","1","38","62"
"63","A Kumar","Techniques for Indexing Large Numbers of Rules and Constraints in a Database System,","Proceedings of the Fourth International Conference Database and Expert System Applications DEXA Database and Expert Systems Applications Valencia Springer Verlag Publishers","1","71","63"
"64","A Kumar;","Hierarchical Quorum Consensus: A New Algorithm for Managing Replicated Data,","IEEE Transaction Computers","1","39","64"
"65","A Kumar; M Stonebraker","The Effect of Join Selectivity on Optimal Nesting Order,","ACM SIGMOD International Conference Management of Data Special Interest Group Management of Data Record","1","72","65"
"66","A Kumar;","G-Tree: A New Data Structure for Organizing Multidimensional Data ","IEEE Trans Knowl Data Eng","1","1","66"
"67","R Emily Liu ; A Kumar","Leveraging Information Sharing to Increase Supply Chain Configurability,","Proceedings of the Twenty Fourth International Conference Information Systems forthcoming","1","73","67"
"68","A Kumar;","Hierarchical Quorum Consensus: A New Algorithm for Managing Replicated Data ","IEEE Trans Computers","1","2","68"
"69","A Kumar;Kavindra Malik","Optimizing the Costs of Hierarchical Quorum Consensus ","Acta Inf","1","74","69"
"70","A Kumar;","An efficient algorithm for solving the partial sum query problem ","Inf Sci","1","3","70"
"71","A Kumar;Michael Rabinovich ; Rakesh K Sinha","A Performance Study of General Grid Structures for Replicated Data ","ICDCS International Conference Distributed Computing Systems","1","75","71"
"72","A Kumar;","An Efficient SuperGrid Protocol for High Availability and Load Balancing ","IEEE Trans Computers","1","4","72"
"73","A Kumar;Arie Segev","Cost and Availability Tradeoffs in Replicated Data Concurrency Control ","ACM Trans Database Syst","1","76","73"
"74","A Kumar;","An Analysis of Borrowing Policies for Escrow Transactions in a Replicated Data Environment ","ICDE International Conference Data Engineering","1","5","74"
"75","A Kumar;Arie Segev","Optimizing Voting-Type Algorithms for Replicated Data ","EDBT Extending Database Technology","1","77","75"
"76","A Kumar;","New Techniques for Data Reduction in a Database System for Knowledge Discovery Applications ","J Intell Inf Syst","1","6","76"
"77","A Kumar;Arie Segev","Optimization And Evaluating Algorithms for Replicated Data Concurrency Control ","ICDCS International Conference Distributed Computing Systems","1","78","77"
"78","A Kumar;","Performance Analysis of Hierarchical Quorum Consensus Algorithm for Replicated Objects ","ICDCS International Conference Distributed Computing Systems","1","7","78"
"79","A Kumar;","A Randomized Algorithm for Distributed Consensus ","Symposium Reliable Distributed Systems","1","8","79"
"80","A Kumar;Edward A Stohr ; J Leon Zhao","A Workflow-Centric Study of Organizational Knowledge Distribution ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","1","79","80"
"81","A Kumar;","A Study of Spatial Clustering techniques ","DEXA Database and Expert Systems Applications","1","9","81"
"82","A Kumar; I Olmeda","Hybrid Classifiers for Knowledge Discovery,","Proceedings INFORMS Conference Information Systems and Technology San Diego","1","40","82"
"83","A Kumar; K Malik","Voting Mechanisms in Distributed Systems,","IEEE Transactions Reliability","1","41","83"
"84","A Kumar; W Muhanna; R Patterson","Mean-Variance Analysis of the Performance of Spatial Clustering Methods,","International Journal of Geographical Information Sciences","1","42","84"
"85","A Kumar; L Zhao","XRL: An Extensible Routing Language for Electronic Commerce Applications,","International Conference Telecommunications and Electronic ICTEC Nashville","1","43","85"
"86","A Kumar; J Wainer; Z Zhang","Meta-workflows and ESP: A Framework for Coordination, Exception Handling, and Adaptability in Workflow Systems,","CAiSE Workshop Web Services e Business and the Semantic Web WES Web Services E Business and the Semantic Web Proceedings to be published by Springer Verlag publishers","1","44","86"
"87","A Kumar","An Efficient Algorithm for Solving the Partial Sum Query Problem,","Information Sciences","1","45","87"
"88","A Kumar","An Efficient SuperGrid Protocol for High Availability and Load Balancing","IEEE Transactions Computers Volume","1","46","88"
"89","A Kumar; V Rao ; H Soni","An Empirical Comparison of Neural Networks and Logistic Regression Methods,","Marketing Letters","1","47","89"
"90","A Kumar;Michael Stonebraker","Performance Considerations for an Operating System Transaction Manager ","IEEE Trans Software Eng","1","80","90"
"91","A Kumar;","A New algorithm for Distributed Consensus,","Distributed and Parallel Databases","1","48","91"
"92","A Kumar;Michael Stonebraker","Performance Evaluation of an Operating System Transaction Manager ","VLDB Very Large Data Bases","1","81","92"
"93","A Kumar","An Analysis of Borrowing Policies for Escrow Transactions in a Replicated Data Environment,","Proceedings of the Sixth IEEE International Conference Data Engineering Los Angeles Computer Animation","1","49","93"
"94","A Kumar;Michael Stonebraker","Operating System Support for Data Management ","IEEE Database Eng Bull","1","82","94"
"95","A Kumar;Michael Stonebraker","Semantics Based Transaction Management Techniques for Replicated Data ","SIGMOD International Conference Management of Data Conference","1","83","95"
"96","A Kumar;Michael Stonebraker","The Effect of Join Selectivities on Optimal Nesting Order ","SIGMOD International Conference Management of Data Record","1","84","96"
"97","A Kumar;Geliang Tong ; Gregory Karvounarakis ; Ming Xiong ; Richard Hull ; Vassilis Christophides","Beyond Discrete E-Services: Composing Session-Oriented Services in Telecommunications ","TES Technologies for E Services","1","85","97"
"98","H M W Verbeek; W M P van der Aalst ; A Kumar; XRL/Woflan","Verification and Extensibility of an XML/Petri-net-based language for inter-organizational workflows,","Information Technology and Management","1","86","98"
"99","A Kumar;H M W Erik Verbeek ; Wil M P van der Aalst","Organizational Modeling in UML and XML in the Context of Workflow Systems ","SAC Selected Areas Cryptography","1","87","99"
"100","J Wainer; P Barthelmess; A Kumar","W-RBAC - A workflow security model incorporating controlled overriding of constraints,","International Journal Cooperative Information Systems forthcoming","1","88","100"
"101","J Wainer; P Barthelmess; A Kumar","Security Management in the presence of delegation and revocation in workflow system,"," for publication","1","89","101"
"102","A Kumar;","Techniques for Indexing Large Numbers of Constraints and Rules in a Database System ","DEXA Database and Expert Systems Applications","1","10","102"
"103","W M P van der Aalst; H M W Verbeek; A Kumar","Verification of XRL: An XML-based Workflow Language,","Proceedings of the Sixth International Conference Computer Supported Cooperative Work Design","1","11","103"
"104","W M P van der Aalst; A Kumar","XML Based Schema Definition for Support of Inter-organizational Workflow,","Information Systems Research","1","12","104"
"105","W M P van der Aalst; H M W Verbeek; A Kumar","XRL/Woflan: Verification and extensibility of an XML/Petri-net based language for inter-organizational workflows,","Proceedings of the th Informs Conference Information Systems and Technology CIST Beach This paper received the best paper award at the conference Full version of this paper is also available","1","13","105"
"106","W M P van der Aalst; A Kumar","A Reference Model for Team-Enabled Workflow Management Systems,","Data and Knowledge Engineering","1","14","106"
"107","W M P van der Aalst; A Kumar; H M W Verbeek","Organizational Modeling in UML and XML in the context of Workflow Systems,","ACM Symposium Applied Computing","1","15","107"
"108","A Kumar; ","Intelligent Traffic Engineering of Internets: Towards a Model-Based Approach ","HiPC","2","1","108"
"109","A Kumar; Flavio Bonomi","Adaptive Load Balancing in a Multi-Processor System with a Central Job Scheduler ","Computer Performance and Reliability","2","2","109"
"110","A Kumar; Flavio Bonomi","Adaptive Optimal Load Balancing in a Heterogeneous Multiserver System with a Central Job Scheduler ","ICDCS International Conference Distributed Computing Systems","2","3","110"
"111","A Kumar; Flavio Bonomi","Adaptive Optimal Load Balancing in a Nonhomogeneous Multiserver System with a Central Job Scheduler ","IEEE Trans Computers","2","4","111"
"112","A Kumar; ","Adaptive Load Control of the Central Processor in a Distributed System with a Star Topology ","IEEE Trans Computers","2","5","112"
"113","A Kumar; B T Doshi ; Flavio Bonomi ; J S Kaufman ; T P Lee","A Case Study of an Adaptive Load Balancing Algorithm ","Queueing Syst","2","6","113"
"114","A Kumar; Manish Gupta ; Rajeev Shorey","Queueing Models and Stability of Message Flows in Distributed Simulators of Open Queueing Networks ","Workshop Parallel and Distributed Simulation","2","7","114"
"115","A Kumar; Manish Gupta","A Nonblocking Algorithm for the Distributed Simulation of FCFS Queueing Networks with Irreducible Markovian Routing ","Workshop Parallel and Distributed Simulation","2","8","115"
"116","A Kumar; Rajeev Shorey","Performance Analysis and Scheduling of Stochastic Fork-Join Jobs in a Multicomputer System ","IEEE Trans Parallel Distrib Syst","2","9","116"
"117","A Kumar; Kiran M Rege ; Rajeev Shorey","Instability and Performance Limits of Distributed Simulators of Feedforward Queueing Networks ","ACM Trans Model Comput Simul","2","10","117"
"118","A Kumar; Srikrishna Kurapati","Optimal Scheduling of a Processor Executing a Communication Protocol Stack ","NETWORKS","2","11","118"
"119","A Kumar; S V R Anand ; T V J Ganesh Babu","Comparative Performance of Queueing Strategies for LAN - WAN Routers in Packet Data Networks ","NETWORKS","2","12","119"
"120","A Kumar; Natwar Modani ; Parijat Dube","Measurement Based Optimal Source Shaping with a Shaping+Multiplexing Delay Constraint ","INFOCOM The Conference Computer Communications","2","13","120"
"121","A Kumar; Santosh Paul Abraham","A Stochastic Approximation Approach for Max-Min Fair Adaptive Rate Control of ABR Sessions with MCRs ","INFOCOM The Conference Computer Communications","2","14","121"
"122","A Kumar; Arzad Kherani","Stochastic Models for Throughput Analysis of Randomly Arriving Elastic Flows in the Internet ","INFOCOM The Conference Computer Communications","2","15","122"
"123","A Kumar; Arzad Kherani","Closed Loop Analysis of the Bottleneck Buffer under Adaptive Window Controlled Transfer of HTTP-Like Traffic ","INFOCOM The Conference Computer Communications","2","16","123"
"124","A Kumar; Munish Goyal ; Vinod Sharma","Power Constrained and Delay Optimal Policies for Scheduling Transmission over a Fading Channel ","INFOCOM The Conference Computer Communications","2","17","124"
"125","A Kumar; Robert G Cole","Comparative Performance of Interleaved and Non-Interleaved Pipelining in LAPD Terminal Adaptors ","INFOCOM The Conference Computer Communications","2","18","125"
"126","A Kumar; Lillykutty Jacob","Comparative Performance of Scheduling Strategies for Switching and Multiplexing in a Hub Based ATM Network: A Simulation Study ","Computer Networks","2","19","126"
"127","A Kumar; Robert G Cole","Comparative Performance of Interleaved and Non-Interleaved Pipelining in ATM Terminal Adapters ","Computer Networks and ISDN Systems","2","20","127"
"128","A Kumar; Santosh Paul Abraham","A new approach for asynchronous distributed rate control of elastic sessions in integrated packet networks ","IEEE ACM Trans Netw","2","21","128"
"129","A Kumar; Lillykutty Jacob ","Delay performance of some scheduling strategies in an input queuing ATM switch with multiclass bursty traffic ","IEEE ACM Trans Netw","2","22","129"
"130","A Kumar; Catherine Rosenberg ; Sridhar Ramesh","Revenue maximization in ATM networks using the CLP capability and buffer priority management ","IEEE ACM Trans Netw","2","23","130"
"131","A Kumar; ","Comparative performance analysis of versions of TCP in a local network with a lossy link ","IEEE ACM Trans Netw","2","24","131"
"132","A Kumar; Aditya Karnik ; Ajit Anvekar ; Sanjay Shakkottai","TCP performance over end-to-end rate control and stochastic available capacity ","IEEE ACM Trans Netw","2","25","132"
"133","A Kumar; Deepak Patil","Stability and throughput analysis of unslotted CDMA-ALOHA with finite number of users and code sharing ","Telecommunication Systems","2","26","133"
"134","A Kumar;A Gupta ; T Roughgarden","A Constant Factor Approximation Algorithm for the Multicommodity Rent-or-Buy Problem "," FOCS IEEE Symposium Foundations of Computer Science","3","10","134"
"135","A Kumar;Anupam Gupta ; Rajeev Rastogi","Exploring the trade-off between label size and stack depth in MPLS Routing ","INFOCOM The Conference Computer Communications","3","11","135"
"136","A Kumar;Anupam Gupta ; Martin P&aacute;l ; Tim Roughgarden","Approximation Via Cost-Sharing: A Simple Approximation Algorithm for the Multicommodity Rent-or-Buy Problem ","FOCS IEEE Symposium Foundations of Computer Science","3","12","136"
"137","A Kumar;A Gupta ; J Kleinberg ; R Rastogi ; B Yener","Provisioning a virtual private network : A network design problem for multicommodity flow "," Proc rd ACM Symposium Thoery of Computing","3","13","137"
"138","A Kumar;A Gupta ; R Rastogi","Routing Issues in MPLS Or, How to Travel with a Pez Dispenser "," Proc IEEE Symposium Foundations of Computer Science","3","14","138"
"139","A Kumar;Anupam Gupta ; Tim Roughgarden","Simpler and better approximation algorithms for network design ","STOC ACM Symposium Theory of Computing","3","15","139"
"140","A Kumar;A Gupta","Sorting and Selection with Structured Costs "," Proc IEEE Symposium Foundations of Computer Science","3","16","140"
"141","A Kumar;Anupam Gupta ; Mikkel Thorup","Tree based MPLS routing ","SPAA ACM Symposium Parallel Algorithms and Architectures","3","17","141"
"142","A Kumar;Anupam Gupta ; Rajeev Rastogi","Traveling with a Pez Dispenser Or, Routing Issues in MPLS ","FOCS IEEE Symposium Foundations of Computer Science","3","18","142"
"143","A Kumar;D Kempe ; J Kleinberg","Connectivity and inference problems for temporal networks "," Proc ACM Symposium Thoery of Computing","3","19","143"
"144","A Kumar;Y Breitbart ; M Garofalakis ; A Gupta ; R Rastogi","On configuring BGP route reflectors "," preparation","3","1","144"
"145","A Kumar;Y Breitbart ; M Garofalakis ; R Rastogi","Optimal configuration of OSPF aggregates "," Proc st IEEE INFOCOM The Conference Computer Communications","3","2","145"
"146","A Kumar;Amit Chakrabarti ; Anupam Gupta ; Chandra Chekuri","Approximation Algorithms for the Unsplittable Flow Problem ","APPROX","3","3","146"
"147","A Kumar;C Chekuri ; A Gupta ; S Naor; D Raz","Building edge-failure resilient networks "," Proc th International Conference IPCO Integer Programming Combinatorial Optimization","3","4","147"
"148","A Kumar;Minos N Garofalakis","Correlating XML data streams using tree-edit distance embeddings ","PODS Symposium Principles of Database Systems","3","5","148"
"149","A Kumar;Minos N Garofalakis ; Rajeev Rastogi ; Yuri Breitbart","Optimal Configuration of OSPF Aggregates ","INFOCOM The Conference Computer Communications","3","6","149"
"150","A Kumar;Minos N Garofalakis ; Rajeev Rastogi ; Yuri Breitbart","Optimal configuration of OSPF aggregates ","IEEE ACM Trans Netw","3","7","150"
"151","A Kumar;Anupam Gupta ; Chandra Chekuri ; Danny Raz ; Joseph Naor","Building Edge-Failure Resilient Networks ","IPCO Integer Programming Combinatorial Optimization","3","8","151"
"152","A Kumar;Anupam Gupta ; Tim Roughgarden","A Constant-Factor Approximation Algorithm for the Multicommodity ","FOCS IEEE Symposium Foundations of Computer Science","3","9","152"
"153","A Kumar;David Kempe ; Jon M Kleinberg","Connectivity and Inference Problems for Temporal Networks ","J Comput Syst Sci","3","20","153"
"154","A Kumar;J Kleinberg","Fairness measures for resource allocation "," Proc st IEEE Symposium Foundations of Computer Science","3","21","154"
"155","A Kumar;J Kleinberg","Wavelength Conversion in optical networks "," Proc th ACM SIAM Society for Industrial and Applied Mathematics Symposium Discrete Algorithms","3","22","155"
"156","A Kumar;Jon M Kleinberg","Wavelength Conversion in Optical Networks ","J Algorithms","3","23","156"
"157","A Kumar;R Rastogi ; A Silberschatz; B Yener","Algorithms for provisioning VPNs in the hose model "," Proc ACM SIGCOMM Special Interest Group Data Communications","3","24","157"
"158","A Kumar;Abraham Silberschatz ; B&uuml;lent Yener ; Rajeev Rastogi","Algorithms for provisioning virtual private networks in the hose model ","SIGCOMM Special Interest Group Data Communications","3","25","158"
"159","A Kumar;Abraham Silberschatz ; B&uuml;lent Yener ; Rajeev Rastogi","Algorithms for provisioning virtual private networks in the hose model ","IEEE ACM Trans Netw","3","26","159"
"160","A Kumar;Chaitanya Swamy","Primal-Dual Algorithms for Connected Facility Location Problems ","APPROX","3","27","160"
"161","A Kumar;C Swamy","Primal-dual Algorithms for Connected Facility Location Prolems "," APPROX","3","28","161"
"162","A Kumar; James E Lewis ; Rammohan K Ragade","A Multiple Copy Distributed Genetic Algorithm for Bin-Packing ","PDPTA Parallel and Distributed Processing Techniques and Applications","4","10","162"
"163","A Kumar; Matt Wurth ; Rammohan K Ragade","Design and Implementation of Wireless Medical Charts System ","PDPTA Parallel and Distributed Processing Techniques and Applications","4","11","163"
"164","A Kumar; Dharma P Agrawal","On System Effectiveness Evaluation of Real-Time Parallel and Distributed Computing Systems ","ICPP International Conference Parallel Processing","4","12","164"
"165","A Kumar; Chien-In Henry Chen","Comments on Area-Time Optimal Adder Design ","IEEE Trans Computers","4","13","165"
"166","A Kumar; Dharma P Agrawal","Parameters for System Effectiveness Evaluation of Distributed Systems ","IEEE Trans Computers","4","14","166"
"167","A Kumar; Adel Said Elmaghraby","Simulation TC: Active and Vibrant ","IEEE Computer","4","15","167"
"168","A Kumar; Mehmed Kantardzic","Toward Autonomic Distributed Data Mining with Intelligent Web Services ","IKE Innovation Knowledge and Economic dynamics","4","16","168"
"169","A Kumar; Alok Srivastava ; Rakesh M Pathak","Distributed Approach for Implementing Genetic Algorithms ","ICPP International Conference Parallel Processing","4","1","169"
"170","A Kumar; Chinar Deshpande ; Larry A Dunning ; Sub Ramakrishnan","Performance Comparison of Two Algorithms for Task Assignment ","ICPP International Conference Parallel Processing","4","2","170"
"171","A Kumar; Venkata Konda","A Framework for Dependence Based Optimization and Parallelization of Practical DO Loops ","ICPP International Conference Parallel Processing","4","3","171"
"172","A Kumar; Mahesh C Gupta ; Yash P Gupta","Genetic Algorithm Application in a Machine Scheduling Problem ","ACM Conference Computer Science","4","4","172"
"173","A Kumar; M C Gupta ; Rakesh M Pathak","Genetic Algorithm Based Approach for Designing Computer Network Topology ","ACM Conference Computer Science","4","5","173"
"174","A Kumar; Aditi Singru ; Alok Srivastava ; Khaled A Kamel","Object-Oriented Simulation of Multimedia-On-Demand Services over ATM Network ","MASCOTS INTERNATIONAL SYMPOSIUM MODELING ANALYSIS AND SIMULATION OF COMPUTER AND TELECOMMUNICATION SYSTEMS","4","6","174"
"175","A Kumar; Aditi Singru ; Alok Srivastava","Design and Analysis of a Video-on-Demand Server ","Multimedia Syst","4","7","175"
"176","A Kumar; Venkata Konda","A Systematic Framework for the Dependence Cycle Removal in Practical Loops ","J Parallel Distrib Comput","4","8","176"
"177","A Kumar; Ilkka Ikonen ; John C Wissel ; Rammohan K Ragade ; William E Biles","A Genetic Algorithm for Packing Three-Dimensional Non-Convex Objects Having Cavities and Holes ","ICGA International Computer Games Association","4","9","177"
"178","A Kumar;","Model-Based Reasoning for Domain Modeling in a Web-Based Intelligent Tutoring System to Help Students Learn to Debug C++ Programs ","Intelligent Tutoring Systems","5","10","178"
"179","A Kumar;","Incorporating Environmental Issues into the Computer Science Curriculum","Proceedings of the Eastern Small Computing Conference ESCCC The Richard of New","5","11","179"
"180","A Kumar;","An Algorithm to Design Loops","The Journal of Computing Small Colleges K","5","12","180"
"181","A Kumar;","Announcements ","Intelligence","5","13","181"
"182","A Kumar;","AAAI- Workshop on Reasoning About Function","SIGART Bulletin","5","14","182"
"183","A Kumar;","AAAI- Workshop Reports: Reasoning About Function","AI Artificial Intelligence Magazine","5","15","183"
